PROBEID	ENTREZID	SYMBOL	GENENAME
213314_at	57150	SMIM8	small integral membrane protein 8
213314_at	63914	LINC01590	long intergenic non-protein coding RNA 1590
213315_x_at	91966	EOLA1	endothelium and lymphocyte associated ASCH domain 1
213316_at	57608	JCAD	junctional cadherin 5 associated
213317_at	53405	CLIC5	chloride intracellular channel 5
213318_s_at	7917	BAG6	BAG cochaperone 6
213319_s_at	8531	YBX3	Y-box binding protein 3
213320_at	10196	PRMT3	protein arginine methyltransferase 3
213321_at	594	BCKDHB	branched chain keto acid dehydrogenase E1 subunit beta
213322_at	221443	OARD1	O-acyl-ADP-ribose deacylase 1
213323_s_at	23264	ZC3H7B	zinc finger CCCH-type containing 7B
213324_at	6714	SRC	SRC proto-oncogene, non-receptor tyrosine kinase
213325_at	25945	NECTIN3	nectin cell adhesion molecule 3
213326_at	6843	VAMP1	vesicle associated membrane protein 1
213327_s_at	219333	USP12	ubiquitin specific peptidase 12
213328_at	4750	NEK1	NIMA related kinase 1
213329_at	23380	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2
213330_s_at	10963	STIP1	stress induced phosphoprotein 1
213331_s_at	4750	NEK1	NIMA related kinase 1
213332_at	60676	PAPPA2	pappalysin 2
213333_at	4191	MDH2	malate dehydrogenase 2
213334_x_at	55559	HAUS7	HAUS augmin like complex subunit 7
213335_s_at	10402	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
213336_at	9031	BAZ1B	bromodomain adjacent to zinc finger domain 1B
213337_s_at	8651	SOCS1	suppressor of cytokine signaling 1
213338_at	25907	TMEM158	transmembrane protein 158
213339_at	57212	GFOD3P	Gfo/Idh/MocA-like oxidoreductase domain containing 3, pseudogene
213340_s_at	57212	GFOD3P	Gfo/Idh/MocA-like oxidoreductase domain containing 3, pseudogene
213341_at	56929	FEM1C	fem-1 homolog C
213342_at	10413	YAP1	Yes1 associated transcriptional regulator
213343_s_at	81544	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5
213344_s_at	3014	H2AX	H2A.X variant histone
213345_at	4776	NFATC4	nuclear factor of activated T cells 4
213346_at	93081	TEX30	testis expressed 30
213347_x_at	6191	RPS4X	ribosomal protein S4 X-linked
213348_at	1028	CDKN1C	cyclin dependent kinase inhibitor 1C
213349_at	23023	TMCC1	transmembrane and coiled-coil domain family 1
213350_at	6205	RPS11	ribosomal protein S11
213351_s_at	23023	TMCC1	transmembrane and coiled-coil domain family 1
213352_at	23023	TMCC1	transmembrane and coiled-coil domain family 1
213353_at	23461	ABCA5	ATP binding cassette subfamily A member 5
213354_s_at	2063	NR2F6	nuclear receptor subfamily 2 group F member 6
213355_at	10402	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
213356_x_at	144983	HNRNPA1L2	heterogeneous nuclear ribonucleoprotein A1 like 2
213356_x_at	3178	HNRNPA1	heterogeneous nuclear ribonucleoprotein A1
213356_x_at	664709	HNRNPA1P10	heterogeneous nuclear ribonucleoprotein A1 pseudogene 10
213357_at	404672	GTF2H5	general transcription factor IIH subunit 5
213358_at	23255	MTCL1	microtubule crosslinking factor 1
213359_at	3184	HNRNPD	heterogeneous nuclear ribonucleoprotein D
213360_s_at	100101267	POM121C	POM121 transmembrane nucleoporin C
213360_s_at	9883	POM121	POM121 transmembrane nucleoporin
213361_at	23424	TDRD7	tudor domain containing 7
213362_at	5789	PTPRD	protein tyrosine phosphatase receptor type D
213363_at	340591	CA5BP1	carbonic anhydrase 5B pseudogene 1
213364_s_at	6642	SNX1	sorting nexin 1
213365_at	112479	ERI2	ERI1 exoribonuclease family member 2
213366_x_at	509	ATP5F1C	ATP synthase F1 subunit gamma
213367_at	155060	LOC155060	AI894139 pseudogene
213368_x_at	8541	PPFIA3	PPFI scaffold protein A3
213369_at	92211	CDHR1	cadherin related family member 1
213370_s_at	51460	SFMBT1	Scm like with four mbt domains 1
213371_at	11155	LDB3	LIM domain binding 3
213372_at	152559	PAQR3	progestin and adipoQ receptor family member 3
213373_s_at	841	CASP8	caspase 8
213374_x_at	26275	HIBCH	3-hydroxyisobutyryl-CoA hydrolase
213375_s_at	90634	N4BP2L1	NEDD4 binding protein 2 like 1
213376_at	22890	ZBTB1	zinc finger and BTB domain containing 1
213377_x_at	6206	RPS12	ribosomal protein S12
213378_s_at	1663	DDX11	DEAD/H-box helicase 11
213378_s_at	440081	DDX12P	DEAD/H-box helicase 12, pseudogene
213378_s_at	642846	LOC642846	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11-like
213379_at	27235	COQ2	coenzyme Q2, polyprenyltransferase
213380_x_at	102724562	LOC102724562	macrophage stimulating 1 pseudogene
213380_x_at	11209	MST1P2	macrophage stimulating 1 pseudogene 2
213380_x_at	11223	MST1L	macrophage stimulating 1 like (pseudogene)
213380_x_at	4485	MST1	macrophage stimulating 1
213381_at	196740	VSTM4	V-set and transmembrane domain containing 4
213382_at	11223	MST1L	macrophage stimulating 1 like (pseudogene)
213383_at	6305	SBF1	SET binding factor 1
213384_x_at	5331	PLCB3	phospholipase C beta 3
213385_at	1124	CHN2	chimerin 2
213386_at	84302	PGAP4	post-GPI attachment to proteins GalNAc transferase 4
213387_at	54454	ATAD2B	ATPase family AAA domain containing 2B
213388_at	9659	PDE4DIP	phosphodiesterase 4D interacting protein
213389_at	9640	ZNF592	zinc finger protein 592
213390_at	23211	ZC3H4	zinc finger CCCH-type containing 4
213391_at	286148	DPY19L4	dpy-19 like 4
213392_at	124152	IQCK	IQ motif containing K
213393_at	84804	SLC67A2	solute carrier family 67 member 2
213394_at	23005	MAPKBP1	mitogen-activated protein kinase binding protein 1
213395_at	23209	MLC1	modulator of VRAC current 1
213396_s_at	11216	AKAP10	A-kinase anchoring protein 10
213397_x_at	6038	RNASE4	ribonuclease A family member 4
213398_s_at	56948	SDR39U1	short chain dehydrogenase/reductase family 39U member 1
213399_x_at	6185	RPN2	ribophorin II
213400_s_at	6907	TBL1X	transducin beta like 1 X-linked
213401_s_at	6907	TBL1X	transducin beta like 1 X-linked
213402_at	126208	ZNF787	zinc finger protein 787
213403_at	84804	SLC67A2	solute carrier family 67 member 2
213404_s_at	6009	RHEB	Ras homolog, mTORC1 binding
213405_at	57403	RAB22A	RAB22A, member RAS oncogene family
213406_at	26118	WSB1	WD repeat and SOCS box containing 1
213407_at	23035	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2
213408_s_at	375133	PI4KAP2	phosphatidylinositol 4-kinase alpha pseudogene 2
213408_s_at	5297	PI4KA	phosphatidylinositol 4-kinase alpha
213408_s_at	728233	PI4KAP1	phosphatidylinositol 4-kinase alpha pseudogene 1
213409_s_at			
213410_at	26098	EDRF1	erythroid differentiation regulatory factor 1
213411_at	53616	ADAM22	ADAM metallopeptidase domain 22
213412_at	27134	TJP3	tight junction protein 3
213413_at	11037	STON1	stonin 1
213414_s_at	6223	RPS19	ribosomal protein S19
213415_at	1193	CLIC2	chloride intracellular channel 2
213416_at	3676	ITGA4	integrin subunit alpha 4
213417_at	6909	TBX2	T-box transcription factor 2
213418_at	3310	HSPA6	heat shock protein family A (Hsp70) member 6
213419_at	323	APBB2	amyloid beta precursor protein binding family B member 2
213420_at	90957	DHX57	DExH-box helicase 57
213421_x_at	5646	PRSS3	serine protease 3
213422_s_at	54587	MXRA8	matrix remodeling associated 8
213423_x_at	7991	TUSC3	tumor suppressor candidate 3
213424_at	23366	MATCAP2	microtubule associated tyrosine carboxypeptidase 2
213425_at	7474	WNT5A	Wnt family member 5A
213426_s_at	858	CAV2	caveolin 2
213427_at	10799	RPP40	ribonuclease P/MRP subunit p40
213428_s_at	1291	COL6A1	collagen type VI alpha 1 chain
213429_at	80114	BICC1	BicC family RNA binding protein 1
213430_at	22902	RUFY3	RUN and FYVE domain containing 3
213431_x_at	9814	SFI1	SFI1 centrin binding protein
213432_at	727897	MUC5B	mucin 5B, oligomeric mucus/gel-forming
213433_at	403	ARL3	ARF like GTPase 3
213434_at	2054	STX2	syntaxin 2
213435_at	23314	SATB2	SATB homeobox 2
213436_at	1268	CNR1	cannabinoid receptor 1
213437_at	22902	RUFY3	RUN and FYVE domain containing 3
213438_at	23114	NFASC	neurofascin
213439_x_at	10900	RUNDC3A	RUN domain containing 3A
213440_at	5861	RAB1A	RAB1A, member RAS oncogene family
213441_x_at	25803	SPDEF	SAM pointed domain containing ETS transcription factor
213442_x_at	25803	SPDEF	SAM pointed domain containing ETS transcription factor
213443_at	8717	TRADD	TNFRSF1A associated via death domain
213444_at	643641	ZNF862	zinc finger protein 862
213445_at	23144	ZC3H3	zinc finger CCCH-type containing 3
213446_s_at	8826	IQGAP1	IQ motif containing GTPase activating protein 1
213447_at	3653	IPW	imprinted in Prader-Willi syndrome
213448_at			
213449_at	10940	POP1	POP1 ribonuclease P/MRP subunit
213450_s_at	23308	ICOSLG	inducible T cell costimulator ligand
213451_x_at	7146	TNXA	tenascin XA (pseudogene)
213451_x_at	7148	TNXB	tenascin XB
213452_at	7738	ZNF184	zinc finger protein 184
213453_x_at	2597	GAPDH	glyceraldehyde-3-phosphate dehydrogenase
213454_at	378708	CENPS	centromere protein S
213455_at	92689	FAM114A1	family with sequence similarity 114 member A1
213456_at	25928	SOSTDC1	sclerostin domain containing 1
213457_at	9258	MFHAS1	multifunctional ROCO family signaling regulator 1
213458_at	317662	FAM149B1	family with sequence similarity 149 member B1
213459_at	6168	RPL37A	ribosomal protein L37a
213460_x_at	155400	NSUN5P1	NSUN5 pseudogene 1
213460_x_at	260294	NSUN5P2	NSUN5 pseudogene 2
213461_at	11051	NUDT21	nudix hydrolase 21
213462_at	4862	NPAS2	neuronal PAS domain protein 2
213463_s_at	317662	FAM149B1	family with sequence similarity 149 member B1
213464_at	25759	SHC2	SHC adaptor protein 2
213465_s_at	5510	PPP1R7	protein phosphatase 1 regulatory subunit 7
213466_at	57799	RAB40C	RAB40C, member RAS oncogene family
213467_at	8153	RND2	Rho family GTPase 2
213468_at	2068	ERCC2	ERCC excision repair 2, TFIIH core complex helicase subunit
213469_at	80055	PGAP1	post-GPI attachment to proteins inositol deacylase 1
213470_s_at	3187	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1
213471_at	261734	NPHP4	nephrocystin 4
213472_at	3187	HNRNPH1	heterogeneous nuclear ribonucleoprotein H1
213473_at	8315	BRAP	BRCA1 associated protein
213474_at	154881	KCTD7	potassium channel tetramerization domain containing 7
213475_s_at	3683	ITGAL	integrin subunit alpha L
213476_x_at	10381	TUBB3	tubulin beta 3 class III
213477_x_at	1915	EEF1A1	eukaryotic translation elongation factor 1 alpha 1
213478_at	23254	KAZN	kazrin, periplakin interacting protein
213479_at	4885	NPTX2	neuronal pentraxin 2
213480_at	8674	VAMP4	vesicle associated membrane protein 4
213481_at	6284	S100A13	S100 calcium binding protein A13
213482_at	1795	DOCK3	dedicator of cytokinesis 3
213483_at	23398	PPWD1	peptidylprolyl isomerase domain and WD repeat containing 1
213484_at	119	ADD2	adducin 2
213485_s_at	89845	ABCC10	ATP binding cassette subfamily C member 10
213486_at	53844	COPG2IT1	COPG2 imprinted transcript 1
213487_at	5605	MAP2K2	mitogen-activated protein kinase kinase 2
213488_at	25992	SNED1	sushi, nidogen and EGF like domains 1
213489_at	10982	MAPRE2	microtubule associated protein RP/EB family member 2
213490_s_at	5605	MAP2K2	mitogen-activated protein kinase kinase 2
213491_x_at	6185	RPN2	ribophorin II
213492_at	1280	COL2A1	collagen type II alpha 1 chain
213493_at	25992	SNED1	sushi, nidogen and EGF like domains 1
213494_s_at	7528	YY1	YY1 transcription factor
213495_s_at	6238	RRBP1	ribosome binding protein 1
213496_at	9890	PLPPR4	phospholipid phosphatase related 4
213497_at	25841	ABTB2	ankyrin repeat and BTB domain containing 2
213498_at	90993	CREB3L1	cAMP responsive element binding protein 3 like 1
213499_at	1181	CLCN2	chloride voltage-gated channel 2
213500_at			
213501_at	51	ACOX1	acyl-CoA oxidase 1
213502_x_at	91316	GUSBP11	GUSB pseudogene 11
213503_x_at	302	ANXA2	annexin A2
213504_at	10980	COPS6	COP9 signalosome subunit 6
213505_s_at	10147	SUGP2	SURP and G-patch domain containing 2
213506_at	2150	F2RL1	F2R like trypsin receptor 1
213507_s_at	3837	KPNB1	karyopherin subunit beta 1
213508_at	171546	SPTSSA	serine palmitoyltransferase small subunit A
213509_x_at	8824	CES2	carboxylesterase 2
213510_x_at	220594	USP32P2	ubiquitin specific peptidase 32 pseudogene 2
213511_s_at	8776	MTMR1	myotubularin related protein 1
213512_at	122616	CLBA1	clathrin binding box of aftiphilin containing 1
213513_x_at	10109	ARPC2	actin related protein 2/3 complex subunit 2
213514_s_at	1729	DIAPH1	diaphanous related formin 1
213515_x_at	3048	HBG2	hemoglobin subunit gamma 2
213516_at	11214	AKAP13	A-kinase anchoring protein 13
213517_at	5094	PCBP2	poly(rC) binding protein 2
213518_at	5584	PRKCI	protein kinase C iota
213519_s_at	3908	LAMA2	laminin subunit alpha 2
213520_at	9401	RECQL4	RecQ like helicase 4
213521_at	26469	PTPN18	protein tyrosine phosphatase non-receptor type 18
213522_s_at	1453	CSNK1D	casein kinase 1 delta
213523_at	898	CCNE1	cyclin E1
213524_s_at	50486	G0S2	G0/G1 switch 2
213525_at			
213526_s_at	55957	LIN37	lin-37 DREAM MuvB core complex component
213527_s_at	146542	ZNF688	zinc finger protein 688
213528_at	92342	METTL18	methyltransferase 18, RPL3 N3(tau)-histidine
213529_at	146542	ZNF688	zinc finger protein 688
213530_at	22930	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1
213531_s_at	22930	RAB3GAP1	RAB3 GTPase activating protein catalytic subunit 1
213532_at	6868	ADAM17	ADAM metallopeptidase domain 17
213533_at	27065	NSG1	neuronal vesicle trafficking associated 1
213534_s_at	23178	PASK	PAS domain containing serine/threonine kinase
213535_s_at	7329	UBE2I	ubiquitin conjugating enzyme E2 I
213536_s_at			
213537_at	3113	HLA-DPA1	major histocompatibility complex, class II, DP alpha 1
213538_at	6651	SON	SON DNA and RNA binding protein
213539_at	915	CD3D	CD3 delta subunit of T-cell receptor complex
213540_at	7923	HSD17B8	hydroxysteroid 17-beta dehydrogenase 8
213541_s_at	2078	ERG	ETS transcription factor ERG
213542_at	374655	ZNF710	zinc finger protein 710
213543_at	6444	SGCD	sarcoglycan delta
213544_at	3622	ING2	inhibitor of growth family member 2
213545_x_at	8724	SNX3	sorting nexin 3
213546_at	222161	DKFZP586I1420	uncharacterized protein DKFZp586I1420
213547_at	23066	CAND2	cullin associated and neddylation dissociated 2 (putative)
213548_s_at	55573	CDV3	CDV3 homolog
213549_at	118987	PDZD8	PDZ domain containing 8
213550_s_at	3550	IK	IK cytokine
213550_s_at	4695	NDUFA2	NADH:ubiquinone oxidoreductase subunit A2
213550_s_at	55374	TMCO6	transmembrane and coiled-coil domains 6
213551_x_at	7703	PCGF2	polycomb group ring finger 2
213552_at	26035	GLCE	glucuronic acid epimerase
213553_x_at	341	APOC1	apolipoprotein C1
213554_s_at	55573	CDV3	CDV3 homolog
213555_at	112611	RWDD2A	RWD domain containing 2A
213556_at	390940	PINLYP	phospholipase A2 inhibitor and LY6/PLAUR domain containing
213557_at	51755	CDK12	cyclin dependent kinase 12
213558_at	27445	PCLO	piccolo presynaptic cytomatrix protein
213559_s_at	168544	ZNF467	zinc finger protein 467
213560_at	4616	GADD45B	growth arrest and DNA damage inducible beta
213561_at	254394	MCM9	minichromosome maintenance 9 homologous recombination repair factor
213562_s_at	6713	SQLE	squalene epoxidase
213563_s_at	10844	TUBGCP2	tubulin gamma complex component 2
213564_x_at	3945	LDHB	lactate dehydrogenase B
213565_s_at	4091	SMAD6	SMAD family member 6
213566_at	6039	RNASE6	ribonuclease A family member 6
213567_at	3840	KPNA4	karyopherin subunit alpha 4
213568_at	116039	OSR2	odd-skipped related transciption factor 2
213569_at	100506603	VASH1-AS1	VASH1 antisense RNA 1
213570_at	9470	EIF4E2	eukaryotic translation initiation factor 4E family member 2
213571_s_at	9470	EIF4E2	eukaryotic translation initiation factor 4E family member 2
213572_s_at	1992	SERPINB1	serpin family B member 1
213573_at	3837	KPNB1	karyopherin subunit beta 1
213574_s_at	3837	KPNB1	karyopherin subunit beta 1
213575_at	29896	TRA2A	transformer 2 alpha homolog
213577_at	6713	SQLE	squalene epoxidase
213578_at	657	BMPR1A	bone morphogenetic protein receptor type 1A
213579_s_at	2033	EP300	EP300 lysine acetyltransferase
213580_at	58487	CREBZF	CREB/ATF bZIP transcription factor
213581_at	5134	PDCD2	programmed cell death 2
213582_at	23250	ATP11A	ATPase phospholipid transporting 11A
213583_x_at	158078	EEF1A1P5	eukaryotic translation elongation factor 1 alpha 1 pseudogene 5
213583_x_at	1915	EEF1A1	eukaryotic translation elongation factor 1 alpha 1
213584_s_at	58487	CREBZF	CREB/ATF bZIP transcription factor
213585_s_at	5134	PDCD2	programmed cell death 2
213586_at	1032	CDKN2D	cyclin dependent kinase inhibitor 2D
213587_s_at	155066	ATP6V0E2	ATPase H+ transporting V0 subunit e2
213588_x_at	9045	RPL14	ribosomal protein L14
213589_s_at	146712	QTGAL	queuosine-tRNA galactosyltransferase
213590_at	9121	SLC16A5	solute carrier family 16 member 5
213591_at	501	ALDH7A1	aldehyde dehydrogenase 7 family member A1
213592_at	187	APLNR	apelin receptor
213593_s_at	29896	TRA2A	transformer 2 alpha homolog
213594_x_at	10772	SRSF10	serine and arginine rich splicing factor 10
213595_s_at	8476	CDC42BPA	CDC42 binding protein kinase alpha
213596_at	837	CASP4	caspase 4
213597_s_at	10217	CTDSPL	CTD small phosphatase like
213598_at			
213599_at	11339	OIP5	Opa interacting protein 5
213600_at	23094	SIPA1L3	signal induced proliferation associated 1 like 3
213601_at	6585	SLIT1	slit guidance ligand 1
213602_s_at			
213603_s_at	5880	RAC2	Rac family small GTPase 2
213604_at	6924	ELOA	elongin A
213605_s_at			
213606_s_at	396	ARHGDIA	Rho GDP dissociation inhibitor alpha
213607_x_at	65220	NADK	NAD kinase
213608_s_at	402055	SRRD	SRR1 domain containing
213609_s_at	23544	SEZ6L	seizure related 6 homolog like
213610_s_at	100526832	PHOSPHO2-KLHL23	PHOSPHO2-KLHL23 readthrough
213610_s_at	151230	KLHL23	kelch like family member 23
213611_at	362	AQP5	aquaporin 5
213612_x_at	100132406	NBPF10	NBPF member 10
213612_x_at	100288142	NBPF20	NBPF member 20
213612_x_at	101060226	NBPF19	NBPF member 19
213612_x_at	101060684	NBPF26	NBPF member 26
213612_x_at	149013	NBPF12	NBPF member 12
213612_x_at	284565	NBPF15	NBPF member 15
213612_x_at	400818	NBPF9	NBPF member 9
213612_x_at	728841	NBPF8	NBPF member 8
213613_s_at	65220	NADK	NAD kinase
213614_x_at	1915	EEF1A1	eukaryotic translation elongation factor 1 alpha 1
213615_at	10436	EMG1	EMG1 N1-specific pseudouridine methyltransferase
213616_at	25941	TPGS2	tubulin polyglutamylase complex subunit 2
213617_s_at	25941	TPGS2	tubulin polyglutamylase complex subunit 2
213618_at	116984	ARAP2	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2
213619_at			
213620_s_at	3384	ICAM2	intercellular adhesion molecule 2
213621_s_at	2987	GUK1	guanylate kinase 1
213622_at	1298	COL9A2	collagen type IX alpha 2 chain
213623_at	11127	KIF3A	kinesin family member 3A
213624_at	10924	SMPDL3A	sphingomyelin phosphodiesterase acid like 3A
213625_at	387032	ZKSCAN4	zinc finger with KRAB and SCAN domains 4
213626_at	84869	CBR4	carbonyl reductase 4
213627_at	10916	MAGED2	MAGE family member D2
213628_at	23155	CLCC1	chloride channel CLIC like 1
213629_x_at	4494	MT1F	metallothionein 1F
213630_at	23148	NACAD	NAC alpha domain containing
213631_x_at	1723	DHODH	dihydroorotate dehydrogenase (quinone)
213632_at	1723	DHODH	dihydroorotate dehydrogenase (quinone)
213633_at	23616	SH3BP1	SH3 domain binding protein 1
213634_s_at	55687	TRMU	tRNA mitochondrial 2-thiouridylase
213635_s_at	6294	SAFB	scaffold attachment factor B
213636_at	23349	PHF24	PHD finger protein 24
213637_at	11056	DDX52	DExD-box helicase 52
213638_at	221692	PHACTR1	phosphatase and actin regulator 1
213639_s_at	26048	ZNF500	zinc finger protein 500
213640_s_at	4015	LOX	lysyl oxidase
213641_at	26048	ZNF500	zinc finger protein 500
213642_at	6155	RPL27	ribosomal protein L27
213643_s_at	3633	INPP5B	inositol polyphosphate-5-phosphatase B
213644_at	201134	CEP112	centrosomal protein 112
213645_at	55556	ENOSF1	enolase superfamily member 1
213646_x_at	10376	TUBA1B	tubulin alpha 1b
213646_x_at	7846	TUBA1A	tubulin alpha 1a
213647_at	1763	DNA2	DNA replication helicase/nuclease 2
213648_at	23016	EXOSC7	exosome component 7
213649_at	6432	SRSF7	serine and arginine rich splicing factor 7
213650_at	23015	GOLGA8A	golgin A8 family member A
213650_at	440270	GOLGA8B	golgin A8 family member B
213651_at	27124	INPP5J	inositol polyphosphate-5-phosphatase J
213652_at	5125	PCSK5	proprotein convertase subtilisin/kexin type 5
213653_at	56339	METTL3	methyltransferase 3, N6-adenosine-methyltransferase complex catalytic subunit
213654_at	27097	TAF5L	TATA-box binding protein associated factor 5 like
213655_at			
213656_s_at	3831	KLC1	kinesin light chain 1
213657_s_at			
213658_at			
213659_at	7626	ZNF75D	zinc finger protein 75D
213660_s_at	8940	TOP3B	DNA topoisomerase III beta
213661_at	25891	PAMR1	peptidase domain containing associated with muscle regeneration 1
213662_at	54463	RETREG1	reticulophagy regulator 1
213663_s_at	54463	RETREG1	reticulophagy regulator 1
213664_at	6505	SLC1A1	solute carrier family 1 member 1
213665_at	6659	SOX4	SRY-box transcription factor 4
213666_at	23157	SEPTIN6	septin 6
213667_at	100862671	TMEM265	transmembrane protein 265
213668_s_at	6659	SOX4	SRY-box transcription factor 4
213669_at	23149	FCHO1	FCH and mu domain containing endocytic adaptor 1
213670_x_at	155400	NSUN5P1	NSUN5 pseudogene 1
213671_s_at	4141	MARS1	methionyl-tRNA synthetase 1
213672_at	4141	MARS1	methionyl-tRNA synthetase 1
213673_x_at	29937	NENF	neudesin neurotrophic factor
213674_x_at	3495	IGHD	immunoglobulin heavy constant delta
213675_at	55742	PARVA	parvin alpha
213676_at	441151	TMEM151B	transmembrane protein 151B
213677_s_at	5378	PMS1	PMS1 homolog 1, mismatch repair system component
213678_at	441151	TMEM151B	transmembrane protein 151B
213679_at	92104	IFT70A	intraflagellar transport 70A
213680_at	3854	KRT6B	keratin 6B
213681_at	50626	ZFTRAF1	zinc finger TRAF-type and ring finger containing 1
213682_at	10762	NUP50	nucleoporin 50
213683_at	23305	ACSL6	acyl-CoA synthetase long chain family member 6
213684_s_at	10611	PDLIM5	PDZ and LIM domain 5
213685_at	100506963	ELOA-AS1	ELOA antisense RNA 1
213686_at	23230	VPS13A	vacuolar protein sorting 13 homolog A
213687_s_at	6165	RPL35A	ribosomal protein L35a
213688_at	801	CALM1	calmodulin 1
213688_at	805	CALM2	calmodulin 2
213689_x_at	388650	DIPK1A	divergent protein kinase domain 1A
213690_s_at	101928378	PTOV1-AS2	PTOV1 antisense RNA 2
213691_at	101928378	PTOV1-AS2	PTOV1 antisense RNA 2
213692_s_at	7421	VDR	vitamin D receptor
213693_s_at	4582	MUC1	mucin 1, cell surface associated
213694_at	54665	RSBN1	round spermatid basic protein 1
213695_at	5446	PON3	paraoxonase 3
213696_s_at	112950	MED8	mediator complex subunit 8
213697_at	10114	HIPK3	homeodomain interacting protein kinase 3
213698_at	100506144	TMEM35B	transmembrane protein 35B
213699_s_at	10971	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta
213700_s_at	5315	PKM	pyruvate kinase M1/2
213701_at	91298	RLIG1	RNA 5'-phosphate and 3'-OH ligase 1
213702_x_at	427	ASAH1	N-acylsphingosine amidohydrolase 1
213703_at	150759	LINC00342	long intergenic non-protein coding RNA 342
213704_at	5876	RABGGTB	Rab geranylgeranyltransferase subunit beta
213705_at	2677	GGCX	gamma-glutamyl carboxylase
213706_at	2819	GPD1	glycerol-3-phosphate dehydrogenase 1
213706_at	84987	COX14	cytochrome c oxidase assembly factor COX14
213707_s_at	1749	DLX5	distal-less homeobox 5
213708_s_at	6945	MLX	MAX dimerization protein MLX
213709_at	80823	GPRASP3	G protein-coupled receptor associated sorting protein family member 3
213710_s_at	801	CALM1	calmodulin 1
213711_at	3887	KRT81	keratin 81
213712_at	54898	ELOVL2	ELOVL fatty acid elongase 2
213713_s_at	89944	GLB1L2	galactosidase beta 1 like 2
213714_at	783	CACNB2	calcium voltage-gated channel auxiliary subunit beta 2
213715_s_at	256949	KANK3	KN motif and ankyrin repeat domains 3
213716_s_at	6398	SECTM1	secreted and transmembrane 1
213717_at	11155	LDB3	LIM domain binding 3
213718_at	5936	RBM4	RNA binding motif protein 4
213719_s_at	6597	SMARCA4	SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4
213720_s_at	6597	SMARCA4	SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4
213721_at	6657	SOX2	SRY-box transcription factor 2
213722_at	6657	SOX2	SRY-box transcription factor 2
213723_s_at	3425	IDUA	alpha-L-iduronidase
213724_s_at	5164	PDK2	pyruvate dehydrogenase kinase 2
213725_x_at	64131	XYLT1	xylosyltransferase 1
213726_x_at	10383	TUBB4B	tubulin beta 4B class IVb
213727_x_at	65258	MPPE1	metallophosphoesterase 1
213728_at	3916	LAMP1	lysosome associated membrane protein 1
213729_at	55660	PRPF40A	pre-mRNA processing factor 40A
213730_x_at	6929	TCF3	transcription factor 3
213731_s_at	6929	TCF3	transcription factor 3
213732_at	6929	TCF3	transcription factor 3
213733_at	4542	MYO1F	myosin IF
213734_at	5985	RFC5	replication factor C subunit 5
213735_s_at	1329	COX5B	cytochrome c oxidase subunit 5B
213736_at	1329	COX5B	cytochrome c oxidase subunit 5B
213737_x_at	643699	GOLGA8N	golgin A8 family member N
213738_s_at	498	ATP5F1A	ATP synthase F1 subunit alpha
213739_at	103344931	LOC103344931	uncharacterized LOC103344931
213739_at	143187	VTI1A	vesicle transport through interaction with t-SNAREs 1A
213740_s_at	100130348	CATSPERH	catsper channel auxiliary subunit eta
213741_s_at	3836	KPNA1	karyopherin subunit alpha 1
213742_at	9295	SRSF11	serine and arginine rich splicing factor 11
213743_at	905	CCNT2	cyclin T2
213744_at	26033	ATRNL1	attractin like 1
213745_at	26033	ATRNL1	attractin like 1
213746_s_at	2316	FLNA	filamin A
213747_at			
213748_at	9866	TRIM66	tripartite motif containing 66
213749_at	5648	MASP1	MBL associated serine protease 1
213750_at	26156	RSL1D1	ribosomal L1 domain containing 1
213751_at	284352	PPP1R37	protein phosphatase 1 regulatory subunit 37
213752_at	23254	KAZN	kazrin, periplakin interacting protein
213753_x_at	1984	EIF5A	eukaryotic translation initiation factor 5A
213754_s_at	10605	PAIP1	poly(A) binding protein interacting protein 1
213755_s_at	79906	MORN1	MORN repeat containing 1
213756_s_at	3297	HSF1	heat shock transcription factor 1
213757_at			
213758_at	1327	COX4I1	cytochrome c oxidase subunit 4I1
213759_at	10123	ARL4C	ARF like GTPase 4C
213760_s_at	27309	ZNF330	zinc finger protein 330
213761_at	56890	SAXO6	stabilizer of axonemal microtubules 6
213762_x_at	27316	RBMX	RNA binding motif protein X-linked
213763_at	28996	HIPK2	homeodomain interacting protein kinase 2
213764_s_at	8076	MFAP5	microfibril associated protein 5
213765_at	8076	MFAP5	microfibril associated protein 5
213766_x_at	2767	GNA11	G protein subunit alpha 11
213767_at	8844	KSR1	kinase suppressor of ras 1
213768_s_at	429	ASCL1	achaete-scute family bHLH transcription factor 1
213769_at	8844	KSR1	kinase suppressor of ras 1
