PROBEID	ENTREZID	SYMBOL	GENENAME
1552661_at	56099	PCDHGB7	protocadherin gamma subfamily B, 7
1552662_a_at	56099	PCDHGB7	protocadherin gamma subfamily B, 7
1552663_a_at	23085	ERC1	ELKS/RAB6-interacting/CAST family member 1
1552664_at	201163	FLCN	folliculin
1552665_at	84989	JMJD1C-AS1	JMJD1C antisense RNA 1
1552666_a_at	57554	LRRC7	leucine rich repeat containing 7
1552667_a_at	10044	SH2D3C	SH2 domain containing 3C
1552669_at	79660	PPP1R3B	protein phosphatase 1 regulatory subunit 3B
1552670_a_at	79660	PPP1R3B	protein phosphatase 1 regulatory subunit 3B
1552671_a_at	84679	SLC9A7	solute carrier family 9 member A7
1552672_a_at	3321	IGSF3	immunoglobulin superfamily member 3
1552673_at	222546	RFX6	regulatory factor X6
1552674_at	116093	DIRC1	disrupted in renal carcinoma 1
1552675_at	150353	DNAJB7	DnaJ heat shock protein family (Hsp40) member B7
1552676_at	114131	UCN3	urocortin 3
1552677_a_at	23181	DIP2A	DIP2 acetate--CoA ligase A
1552678_a_at	57646	USP28	ubiquitin specific peptidase 28
1552680_a_at	57082	KNL1	kinetochore scaffold 1
1552682_a_at	57082	KNL1	kinetochore scaffold 1
1552684_a_at	123228	SENP8	SUMO peptidase family member, NEDD8 specific
1552685_a_at	29841	GRHL1	grainyhead like transcription factor 1
1552686_at	140894	CNBD2	cyclic nucleotide binding domain containing 2
1552687_a_at	140894	CNBD2	cyclic nucleotide binding domain containing 2
1552689_at	57524	CASKIN1	CASK interacting protein 1
1552690_a_at	93589	CACNA2D4	calcium voltage-gated channel auxiliary subunit alpha2delta 4
1552691_at	115761	ARL11	ARF like GTPase 11
1552693_at	115761	ARL11	ARF like GTPase 11
1552694_at	114134	SLC2A13	solute carrier family 2 member 13
1552695_a_at	114134	SLC2A13	solute carrier family 2 member 13
1552696_at	123606	NIPA1	NIPA magnesium transporter 1
1552698_at	113691	TUBA3FP	tubulin alpha 3f pseudogene
1552701_a_at	114769	CARD16	caspase recruitment domain family member 16
1552703_s_at	114769	CARD16	caspase recruitment domain family member 16
1552703_s_at	834	CASP1	caspase 1
1552705_at	142679	DUSP19	dual specificity phosphatase 19
1552708_a_at	142679	DUSP19	dual specificity phosphatase 19
1552711_a_at	124637	CYB5D1	cytochrome b5 domain containing 1
1552712_a_at	23057	NMNAT2	nicotinamide nucleotide adenylyltransferase 2
1552713_a_at	6521	SLC4A1	solute carrier family 4 member 1 (Diego blood group)
1552714_at	200407	CREG2	cellular repressor of E1A stimulated genes 2
1552715_a_at	59350	RXFP1	relaxin family peptide receptor 1
1552716_at	79925	SPEF2	sperm flagellar and cilia associated 2
1552717_s_at	645455	CEP170P1	centrosomal protein 170 pseudogene 1
